relative_prob_transmission,days_post_infection,proportion_transmission_abated,cumulative_transmission,cumulative_transmission_abated
0.688197045,4.33,0.001344138,0.325502147,0.674497853
0.68819656,4.34,0.001344138,0.326846284,0.673153716
0.688186758,4.35,0.001344118,0.328190402,0.671809598
0.688167675,4.36,0.001344081,0.329534484,0.670465516
0.688139344,4.37,0.001344026,0.330878509,0.669121491
0.688101803,4.38,0.001343952,0.332222462,0.667777538
0.688055086,4.39,0.001343861,0.333566323,0.666433677
0.68799923,4.4,0.001343752,0.334910075,0.665089925
0.687940397,4.41,0.001343637,0.336253713,0.663746287
0.687872653,4.42,0.001343505,0.337597217,0.662402783
0.687796033,4.43,0.001343355,0.338940573,0.661059427
0.687710571,4.44,0.001343188,0.340283761,0.659716239
0.687616305,4.45,0.001343004,0.341626765,0.658373235
0.68751327,4.46,0.001342803,0.342969568,0.657030432
0.687401503,4.47,0.001342585,0.344312153,0.655687847
0.687281041,4.48,0.001342349,0.345654502,0.654345498
0.687151921,4.49,0.001342097,0.3469966,0.6530034
0.687014182,4.5,0.001341828,0.348338428,0.651661572
0.686873193,4.51,0.001341553,0.349679981,0.650320019
0.686723793,4.52,0.001341261,0.351021242,0.648978758
0.686566018,4.53,0.001340953,0.352362195,0.647637805
0.686399907,4.54,0.001340628,0.353702823,0.646297177
0.686225496,4.55,0.001340288,0.355043111,0.644956889
0.686042823,4.56,0.001339931,0.356383042,0.643616958
0.685851927,4.57,0.001339558,0.3577226,0.6422774
0.685652845,4.58,0.001339169,0.359061769,0.640938231
0.685445616,4.59,0.001338765,0.360400534,0.639599466
0.685230279,4.6,0.001338344,0.361738878,0.638261122
0.685011453,4.61,0.001337917,0.363076795,0.636923205
0.684784711,4.62,0.001337474,0.364414268,0.635585732
0.684550089,4.63,0.001337016,0.365751284,0.634248716
0.684307628,4.64,0.001336542,0.367087826,0.632912174
0.684057364,4.65,0.001336053,0.368423879,0.631576121
0.683799337,4.66,0.001335549,0.369759428,0.630240572
0.683533586,4.67,0.00133503,0.371094458,0.628905542
0.683260151,4.68,0.001334496,0.372428955,0.627571045
0.682979071,4.69,0.001333947,0.373762902,0.626237098
0.682690385,4.7,0.001333383,0.375096285,0.624903715
0.682398005,4.71,0.001332812,0.376429097,0.623570903
0.682098195,4.72,0.001332227,0.377761324,0.622238676
0.681790992,4.73,0.001331627,0.379092951,0.620907049
0.681476437,4.74,0.001331012,0.380423963,0.619576037
0.681154568,4.75,0.001330384,0.381754346,0.618245654
0.680825425,4.76,0.001329741,0.383084087,0.616915913
0.680489049,4.77,0.001329084,0.384413171,0.615586829
0.680145479,4.78,0.001328413,0.385741584,0.614258416
0.679794755,4.79,0.001327728,0.387069311,0.612930689
0.679436919,4.8,0.001327029,0.38839634,0.61160366
0.679075215,4.81,0.001326322,0.389722663,0.610277337
0.678706557,4.82,0.001325602,0.391048265,0.608951735
0.678330984,4.83,0.001324869,0.392373134,0.607626866
0.677948535,4.84,0.001324122,0.393697256,0.606302744
0.677559251,4.85,0.001323362,0.395020617,0.604979383
0.677163173,4.86,0.001322588,0.396343205,0.603656795
0.676760339,4.87,0.001321801,0.397665006,0.602334994
